"run","well","row","column","concentration"
"1772-064-103","B09","B","09",0.397
"1772-064-103","C09","C","09",0.291
"1772-064-103","D09","D","09",0.267
"1772-064-103","E09","E","09",0.473
"1772-064-103","F09","F","09",0.275
"1772-064-103","G09","G","09",0.314
"1772-064-103","H09","H","09",0.46
"1772-064-103","A10","A","10",0.566
"1772-064-103","B10","B","10",0.367
"1772-064-103","C10","C","10",0.316
"1772-064-103","D10","D","10",0.337
"1772-064-103","E10","E","10",0.317
"1772-064-103","F10","F","10",0.388
"1772-064-103","G10","G","10",0.334
"1772-064-103","H10","H","10",0.221
"1772-064-103","A11","A","11",0.228
"1772-064-103","B11","B","11",0.225
"1772-064-103","C11","C","11",0.63
"1772-064-103","D11","D","11",0.313
"1772-064-103","E11","E","11",0.524
"1772-064-103","F11","F","11",0.2
"1772-064-103","G11","G","11",0.563
"1772-064-103","H11","H","11",0.385
"1772-064-103","A12","A","12",0.451
"1772-064-103","B12","B","12",0.392
"1772-064-103","C12","C","12",0.384
"1772-064-103","D12","D","12",0.342
"1772-064-103","E12","E","12",0.343
"1772-064-103","F12","F","12",0.242
"1772-064-103","G12","G","12",0.422
"1772-064-103","H12","H","12",0.109
"1772-067-038","A01","A","01",0.782
"1772-067-038","B01","B","01",1.503
"1772-067-038","C01","C","01",1.536
"1772-067-038","D01","D","01",1.071
"1772-067-038","E01","E","01",1.703
"1772-067-038","F01","F","01",0.754
"1772-067-038","G01","G","01",1.098
"1772-067-038","H01","H","01",2.03
"1772-067-038","A02","A","02",1.169
"1772-067-038","B02","B","02",0.981
"1772-067-038","C02","C","02",1.136
"1772-067-038","D02","D","02",1.157
"1772-067-038","E02","E","02",1.322
"1772-067-038","F02","F","02",1.095
"1772-067-038","G02","G","02",0.918
"1772-067-038","H02","H","02",0.778
"1772-067-038","A03","A","03",1.589
"1772-067-038","B03","B","03",1.389
"1772-067-038","C03","C","03",1.261
"1772-067-038","D03","D","03",1.73
"1772-067-038","E03","E","03",1.304
"1772-067-038","F03","F","03",1.585
"1772-067-038","G03","G","03",1.209
"1772-067-038","H03","H","03",1.7
"1772-067-038","A04","A","04",0.676
"1772-067-038","B04","B","04",0.738
"1772-067-038","C04","C","04",0.434
"1772-067-038","D04","D","04",1.188
"1772-067-038","E04","E","04",0.21
"1772-067-038","F04","F","04",0.341
"1772-067-038","G04","G","04",0.871
"1772-067-038","H04","H","04",1.075
"1772-067-038","A05","A","05",0.044
"1772-067-038","B05","B","05",0.993
"1772-067-038","C05","C","05",0.605
"1772-067-038","D05","D","05",0.488
"1772-067-038","E05","E","05",0.331
"1772-067-038","F05","F","05",1.679
"1772-067-038","G05","G","05",1.175
"1772-067-038","H05","H","05",1.791
"1772-067-038","A06","A","06",0.061
"1772-067-038","B06","B","06",0.63
"1772-067-038","C06","C","06",0.183
"1772-067-038","D06","D","06",0.231
"1772-067-038","E06","E","06",0.163
"1772-067-038","F06","F","06",0.311
"1772-067-038","G06","G","06",0.122
"1772-067-038","H06","H","06",0.508
"1772-067-038","A07","A","07",0.708
"1772-067-038","B07","B","07",1.366
"1772-067-038","C07","C","07",0.679
"1772-067-038","D07","D","07",0.734
"1772-067-038","E07","E","07",1.012
"1772-067-038","F07","F","07",0.886
"1772-067-038","G07","G","07",0.092
"1772-067-038","H07","H","07",0.631
"1772-067-038","A08","A","08",1.165
"1772-067-038","B08","B","08",0.086
"1772-067-038","C08","C","08",0.069
"1772-067-038","D08","D","08",0.904
"1772-067-038","E08","E","08",1.42
"1772-067-038","F08","F","08",1.223
"1772-067-038","G08","G","08",1.491
"1772-067-038","H08","H","08",0.111
"1772-067-038","A09","A","09",0.831
"1772-067-038","B09","B","09",1.444
"1772-067-038","C09","C","09",0.64
"1772-067-038","D09","D","09",0.908
"1772-067-038","E09","E","09",0.922
"1772-067-038","F09","F","09",0.112
"1772-067-038","G09","G","09",0.211
"1772-067-038","H09","H","09",0.214
"1772-067-038","A10","A","10",0.949
"1772-067-038","B10","B","10",0.093
"1772-067-038","C10","C","10",0.541
"1772-067-038","D10","D","10",0.676
"1772-067-038","E10","E","10",0.103
"1772-067-038","F10","F","10",2.617
"1772-067-038","G10","G","10",0.099
"1772-067-038","H10","H","10",0.108
"1772-067-038","A11","A","11",0.664
"1772-067-038","B11","B","11",1.139
"1772-067-038","C11","C","11",0.868
"1772-067-038","D11","D","11",0.857
"1772-067-038","E11","E","11",1.217
"1772-067-038","F11","F","11",1.503
"1772-067-038","G11","G","11",0.332
"1772-067-038","H11","H","11",0.151
"1772-067-038","A12","A","12",1.107
"1772-067-038","B12","B","12",0.981
"1772-067-038","C12","C","12",1.142
"1772-067-038","D12","D","12",1.149
"1772-067-038","E12","E","12",0.701
"1772-067-038","F12","F","12",0.358
"1772-067-038","G12","G","12",0.04
"1772-067-038","H12","H","12",2.091
"1772-067-039","A01","A","01",0.764
"1772-067-039","B01","B","01",0.004
"1772-067-039","C01","C","01",0.042
"1772-067-039","D01","D","01",1.1
"1772-067-039","E01","E","01",1.038
"1772-067-039","F01","F","01",1.348
"1772-067-039","G01","G","01",0.053
"1772-067-039","H01","H","01",1.072
"1772-067-039","A02","A","02",0.337
"1772-067-039","B02","B","02",0.723
"1772-067-039","C02","C","02",0.249
"1772-067-039","D02","D","02",1.378
"1772-067-039","E02","E","02",1.174
"1772-067-039","F02","F","02",1.32
"1772-067-039","G02","G","02",1.859
"1772-067-039","H02","H","02",0.935
"1772-067-039","A03","A","03",2.104
"1772-067-039","B03","B","03",1.38
"1772-067-039","C03","C","03",0.055
"1772-067-039","D03","D","03",0.997
"1772-067-039","E03","E","03",0.052
"1772-067-039","F03","F","03",1.182
"1772-067-039","G03","G","03",1.05
"1772-067-039","H03","H","03",1.012
"1772-067-039","A04","A","04",0.839
"1772-067-039","B04","B","04",0.525
"1772-067-039","C04","C","04",0.627
"1772-067-039","D04","D","04",0.038
"1772-067-039","E04","E","04",0.452
"1772-067-039","F04","F","04",0.749
"1772-067-039","G04","G","04",0.864
"1772-067-039","H04","H","04",1.213
"1772-067-039","A05","A","05",0.833
"1772-067-039","B05","B","05",0.813
"1772-067-039","C05","C","05",0.144
"1772-067-039","D05","D","05",0.586
"1772-067-039","E05","E","05",0.067
"1772-067-039","F05","F","05",0.812
"1772-067-039","G05","G","05",1.194
"1772-067-039","H05","H","05",0.063
"1772-067-039","A06","A","06",0.049
"1772-067-039","B06","B","06",0.051
"1772-067-039","C06","C","06",0.756
"1772-067-039","D06","D","06",0.053
"1772-067-039","E06","E","06",0.873
"1772-067-039","F06","F","06",1.965
"1772-067-039","G06","G","06",0.813
"1772-067-039","H06","H","06",1.099
"1772-067-039","A07","A","07",0.789
"1772-067-039","B07","B","07",0.832
"1772-067-039","C07","C","07",1.115
"1772-067-039","D07","D","07",1.751
"1772-067-039","E07","E","07",1.553
"1772-067-039","F07","F","07",1.016
"1772-067-039","G07","G","07",0.894
"1772-067-039","H07","H","07",2.018
"1772-067-039","A08","A","08",0.051
"1772-067-039","B08","B","08",0.579
"1772-067-039","C08","C","08",0.941
"1772-067-039","D08","D","08",1.094
"1772-067-039","E08","E","08",0.973
"1772-067-039","F08","F","08",0.956
"1772-067-039","G08","G","08",1.459
"1772-067-039","H08","H","08",1.132
"1772-067-039","A09","A","09",0.639
"1772-067-039","B09","B","09",0.524
"1772-067-039","C09","C","09",2.769
"1772-067-039","D09","D","09",0.854
"1772-067-039","E09","E","09",1.486
"1772-067-039","F09","F","09",0.058
"1772-067-039","G09","G","09",1.395
"1772-067-039","H09","H","09",1.875
"1772-067-039","A10","A","10",0.563
"1772-067-039","B10","B","10",0.158
"1772-067-039","C10","C","10",1.151
"1772-067-039","D10","D","10",0.697
"1772-067-039","E10","E","10",0.05
"1772-067-039","F10","F","10",0.911
"1772-067-039","G10","G","10",0.276
"1772-067-039","H10","H","10",0.195
"1772-067-039","A11","A","11",1.14
"1772-067-039","B11","B","11",0.044
"1772-067-039","C11","C","11",0.453
"1772-067-039","D11","D","11",0.947
"1772-067-039","E11","E","11",0.044
"1772-067-039","F11","F","11",0.054
"1772-067-039","G11","G","11",0.919
"1772-067-039","H11","H","11",0.758
"1772-067-039","A12","A","12",0.044
"1772-067-039","B12","B","12",1.577
"1772-067-039","C12","C","12",0.751
"1772-067-039","D12","D","12",1.757
"1772-067-039","E12","E","12",0.056
"1772-067-039","F12","F","12",1.674
"1772-067-039","G12","G","12",1.135
"1772-067-039","H12","H","12",0.993
