"Label" "Cellcoord.X" "Cellcoord.Y" "area" "mean.ch2" "std.ch2" "min.ch2" "max.ch2" "BGcoord.ch2.X" "BGcoord.ch2.Y" "bg.area.ch2" "bg.mean.ch2" "bg.std.ch2" "bg.min.ch2" "bg.max.ch2" "area.ch3" "mean.ch3" "std.ch3" "min.ch3" "max.ch3" "BGcoord.ch3.X" "BGcoord.ch3.Y" "bg.area.ch3" "bg.mean.ch3" "bg.std.ch3" "bg.min.ch3" "bg.max.ch3" "Error" "Comment" "Well" "Run" "discard" "r.mean.ch2" "r.mean.ch3"
"97" "1772-062-249_F09" 224 173 227.982 25.679 6.745 10 42 174 223 227.982 15.971 4.349 5 29 227.982 38.518 9.192 18 62 174 223 227.982 11.182 4.08 2 22 "0-No Error" "No comment" "F09" "1772-062-249" FALSE 9.45909677419355 26.6552741935484
"98" "1772-062-249_F10" 222 172 227.982 35.453 16.319 9 80 172 222 227.982 15.606 4.548 6 26 227.982 68.518 46.392 11 188 172 222 227.982 11.124 4.669 2 23 "0-No Error" "No comment" "F10" "1772-062-249" FALSE 19.2330967741936 56.6552741935484
"99" "1772-062-249_F11" 253 170 227.982 21.737 5.693 8 39 203 220 227.982 16.197 4.345 4 27 227.982 42.467 19.902 5 90 203 220 227.982 11.234 4.593 2 24 "0-No Error" "No comment" "F11" "1772-062-249" FALSE 5.51709677419355 30.6042741935484
"100" "1772-062-249_F12" 223 173 227.982 64.029 28.287 17 134 173 223 227.982 15.54 4.664 4 30 227.982 49.416 19.713 16 102 173 223 227.982 12.015 4.15 3 24 "0-No Error" "No comment" "F12" "1772-062-249" FALSE 47.8090967741935 37.5532741935484
"101" "1772-062-249_G01" 256 172 227.982 18.175 5.083 6 30 206 222 227.982 15.715 4.236 5 26 227.982 26.584 5.626 13 40 206 222 227.982 11.818 4.421 0 22 "0-No Error" "No comment" "G01" "1772-062-249" FALSE 1.95509677419355 14.7212741935484
"102" "1772-062-249_G02" 226 173 227.982 18.292 4.492 5 31 176 223 227.982 15.343 4.264 6 30 227.982 17.336 4.868 2 29 176 223 227.982 11.321 4.726 0 26 "0-No Error" "No comment" "G02" "1772-062-249" FALSE 2.07209677419355 5.47327419354839
"103" "1772-062-249_G03" 256 172 227.982 41.613 19.334 12 93 206 222 227.982 16.044 4.549 5 27 227.982 66.168 32.522 9 141 206 222 227.982 11.628 3.911 2 21 "0-No Error" "No comment" "G03" "1772-062-249" FALSE 25.3930967741935 54.3052741935484
"104" "1772-062-249_G04" 255 171 227.982 21.723 4.646 9 33 205 221 227.982 17 4.873 4 29 227.982 35.343 7.243 20 56 205 221 227.982 12.336 4.303 0 21 "4-MultipleCells" "No comment" "G04" "1772-062-249" TRUE 5.50309677419355 23.4802741935484
"105" "1772-062-249_G05" 221 172 227.982 59.401 35.881 15 145 171 222 227.982 14.942 4.717 0 27 227.982 44.263 26.386 7 103 171 222 227.982 11.029 4.454 2 22 "0-No Error" "No comment" "G05" "1772-062-249" FALSE 43.1810967741935 32.4002741935484
"106" "1772-062-249_G06" 252 172 227.982 17.854 4.838 8 30 202 222 227.982 15.533 4.533 3 29 227.982 30 12.026 9 62 202 222 227.982 11.526 4.069 2 23 "0-No Error" "No comment" "G06" "1772-062-249" FALSE 1.63409677419355 18.1372741935484
"107" "1772-062-249_G07" 224 175 227.982 37.555 13.815 13 72 174 225 227.982 15.577 4.342 6 28 227.982 29.65 9.261 12 52 174 225 227.982 12.219 4.46 2 26 "0-No Error" "No comment" "G07" "1772-062-249" FALSE 21.3350967741935 17.7872741935484
"108" "1772-062-249_G08" 256 173 227.982 25.832 6.105 13 40 206 223 227.982 16.985 4.362 4 29 227.982 58.949 16.559 28 98 206 223 227.982 12.109 4.13 3 21 "0-No Error" "No comment" "G08" "1772-062-249" FALSE 9.61209677419355 47.0862741935484
"109" "1772-062-249_G09" 226 176 227.982 21.518 4.919 5 34 176 226 227.982 15.92 4.822 6 28 227.982 26.912 5.93 12 45 176 226 227.982 11.022 3.723 2 18 "0-No Error" "No comment" "G09" "1772-062-249" FALSE 5.29809677419355 15.0492741935484
"110" "1772-062-249_G10" 223 174 227.982 17.336 4.7 4 30 173 224 227.982 16.766 4.385 3 26 227.982 12.898 4.694 1 26 173 224 227.982 11.934 4.492 2 22 "2-Debris" "No comment" "G10" "1772-062-249" TRUE 1.11609677419355 1.03527419354839
"111" "1772-062-249_G11" 252 170 227.982 17.036 4.746 7 29 202 220 227.982 17.007 4.655 0 31 227.982 15.759 4.625 3 30 202 220 227.982 11.832 4.19 0 23 "3-OutOfFocus" "No comment" "G11" "1772-062-249" TRUE 0.81609677419355 3.89627419354839
"112" "1772-062-249_G12" 222 174 227.982 18.591 5.529 5 34 172 224 227.982 16.518 4.81 0 35 227.982 29.591 25.121 4 104 172 224 227.982 12.27 4.519 0 27 "0-No Error" "No comment" "G12" "1772-062-249" FALSE 2.37109677419355 17.7282741935484
"113" "1772-062-249_H01" 255 173 227.982 18.978 4.956 4 30 205 223 227.982 16.839 4.816 6 32 227.982 29.964 6.498 15 47 205 223 227.982 12.139 4.104 3 26 "0-No Error" "No comment" "H01" "1772-062-249" FALSE 2.75809677419355 18.1012741935484
"114" "1772-062-249_H02" 226 174 227.982 16.022 4.611 3 31 176 224 227.982 15.234 4.525 5 30 227.982 11.993 4.264 0 25 176 224 227.982 11.985 4.022 3 23 "3-OutOfFocus" "No comment" "H02" "1772-062-249" TRUE -0.197903225806453 0.130274193548388
"115" "1772-062-249_H03" 256 173 227.982 19.774 4.89 7 31 206 223 227.982 16.577 4.292 6 27 227.982 34.934 5.726 21 52 206 223 227.982 11.255 4.327 0 23 "3-OutOfFocus" "No comment" "H03" "1772-062-249" TRUE 3.55409677419355 23.0712741935484
"116" "1772-062-249_H04" 252 172 227.982 36.474 6.167 18 57 202 222 227.982 17.489 4.374 5 30 227.982 41.314 7.719 23 63 202 222 227.982 12.511 4.754 0 24 "0-No Error" "No comment" "H04" "1772-062-249" FALSE 20.2540967741935 29.4512741935484
"117" "1772-062-249_H05" 221 174 227.982 33.964 10.482 13 58 171 224 227.982 15.883 3.985 3 26 227.982 54.577 25.038 10 114 171 224 227.982 12.35 3.83 3 22 "0-No Error" "No comment" "H05" "1772-062-249" FALSE 17.7440967741935 42.7142741935484
"118" "1772-062-249_H06" 252 172 227.982 20 4.829 5 29 202 222 227.982 15.285 4.599 6 27 227.982 34.825 6.785 21 53 202 222 227.982 10.949 4.445 0 21 "0-No Error" "No comment" "H06" "1772-062-249" FALSE 3.78009677419355 22.9622741935484
"119" "1772-062-249_H07" 224 174 227.982 61.299 25.186 17 121 174 224 227.982 15.153 3.609 7 25 227.982 69.372 34.153 22 152 174 224 227.982 12.175 4.36 1 24 "0-No Error" "No comment" "H07" "1772-062-249" FALSE 45.0790967741935 57.5092741935484
"120" "1772-062-249_H08" 255 173 227.982 17.328 4.467 6 28 205 223 227.982 15.934 4.378 4 28 227.982 19.27 4.919 3 31 205 223 227.982 12.117 4.042 2 23 "3-OutOfFocus" "No comment" "H08" "1772-062-249" TRUE 1.10809677419355 7.40727419354839
"121" "1772-062-249_H09" 221 171 227.982 17.591 4.641 7 29 171 221 227.982 15.299 4.426 6 25 227.982 14.526 4.485 5 26 171 221 227.982 11.854 4.483 0 25 "3-OutOfFocus" "No comment" "H09" "1772-062-249" TRUE 1.37109677419355 2.66327419354839
"122" "1772-062-249_H10" 219 171 227.982 46.453 7.007 21 72 169 221 227.982 15.46 4.398 3 26 227.982 40.635 6.589 24 57 169 221 227.982 11.672 4.194 2 24 "0-No Error" "No comment" "H10" "1772-062-249" FALSE 30.2330967741936 28.7722741935484
"123" "1772-062-249_H11" 251 172 227.982 17.839 4.497 5 29 201 222 227.982 16.365 4.501 3 29 227.982 11.358 4.282 0 24 201 222 227.982 12.423 4.197 3 25 "3-OutOfFocus" "No comment" "H11" "1772-062-249" TRUE 1.61909677419355 -0.504725806451612
"124" "1772-062-249_H12" 219 172 227.982 16.212 4.686 3 27 169 222 227.982 16.489 3.969 4 27 227.982 11.102 4.317 0 22 169 222 227.982 11.978 4.668 1 24 "1-No cell" "No comment" "H12" "1772-062-249" TRUE -0.00790322580645153 -0.760725806451612
"125" "1772-064-103_A01" 261 205 227.982 34.971 11.304 17 73 211 255 227.982 25.825 4.736 14 39 227.982 35.92 11.748 13 72 211 255 227.982 13.934 4.492 4 27 "0-No Error" "No comment" "A01" "1772-064-103" FALSE 9.59543548387096 21.3528548387097
"126" "1772-064-103_A02" 233 208 227.982 81.365 40.844 16 170 183 258 227.982 25.234 4.691 11 38 227.982 82.109 54.215 15 192 183 258 227.982 14.482 4.258 5 26 "0-No Error" "No comment" "A02" "1772-064-103" FALSE 55.989435483871 67.5418548387097
"127" "1772-064-103_A03" 265 206 227.982 71.708 37.095 15 152 215 256 227.982 25.234 4.544 14 36 227.982 35.993 17.516 2 80 215 256 227.982 14.007 4.614 4 26 "0-No Error" "No comment" "A03" "1772-064-103" FALSE 46.332435483871 21.4258548387097
"128" "1772-064-103_A04" 263 202 227.982 69.613 27.78 21 130 213 252 227.982 25.219 4.579 14 35 227.982 127.555 68.169 25 268 213 252 227.982 13.65 4.494 5 26 "0-No Error" "No comment" "A04" "1772-064-103" FALSE 44.237435483871 112.98785483871
"129" "1772-064-103_A05" 229 203 227.982 48.679 12.68 28 79 179 253 227.982 25.088 5.263 11 37 227.982 40.642 12.069 18 78 179 253 227.982 14.095 4.516 0 25 "0-No Error" "No comment" "A05" "1772-064-103" FALSE 23.303435483871 26.0748548387097
"130" "1772-064-103_A06" 259 201 227.982 55.226 30.694 21 140 209 251 227.982 25.036 5.214 14 42 227.982 54.307 37.965 5 161 209 251 227.982 13.277 4.491 1 24 "0-No Error" "No comment" "A06" "1772-064-103" FALSE 29.850435483871 39.7398548387097
"131" "1772-064-103_A07" 227 207 227.982 79.701 45.177 16 190 177 257 227.982 26.971 4.845 15 42 227.982 60.007 40.852 11 153 177 257 227.982 15.73 4.43 4 26 "0-No Error" "No comment" "A07" "1772-064-103" FALSE 54.325435483871 45.4398548387097
"132" "1772-064-103_A08" 258 205 227.982 91 35.553 25 171 208 255 227.982 27.255 4.799 15 39 227.982 61.139 25.09 15 119 208 255 227.982 14.847 4.805 4 27 "0-No Error" "No comment" "A08" "1772-064-103" FALSE 65.624435483871 46.5718548387097
"133" "1772-064-103_A09" 231 206 227.982 58.277 35.582 19 153 181 256 227.982 25.591 5.205 13 36 227.982 92.314 72.813 15 309 181 256 227.982 15.044 4.721 2 29 "0-No Error" "No comment" "A09" "1772-064-103" FALSE 32.901435483871 77.7468548387097
"134" "1772-064-103_A10" 227 201 227.982 90.139 36.399 25 160 177 251 227.982 25.934 5.3 12 42 227.982 102.358 51.954 18 208 177 251 227.982 14.891 4.04 6 25 "0-No Error" "No comment" "A10" "1772-064-103" FALSE 64.763435483871 87.7908548387097
"135" "1772-064-103_A11" 258 200 227.982 29.599 6.186 11 44 208 250 227.982 25.212 5.27 10 36 227.982 25.978 9.352 4 46 208 250 227.982 14.504 3.877 5 27 "0-No Error" "No comment" "A11" "1772-064-103" FALSE 4.22343548387097 11.4108548387097
"136" "1772-064-103_A12" 225 202 227.982 82.197 38.968 22 161 175 252 227.982 24.511 4.99 9 36 227.982 121.854 76.909 14 291 175 252 227.982 14.628 4.222 3 26 "0-No Error" "No comment" "A12" "1772-064-103" FALSE 56.821435483871 107.28685483871
"137" "1772-064-103_B01" 251 206 227.982 45.993 17.806 12 89 201 256 227.982 25.328 4.871 13 38 227.982 147.161 91.997 18 338 201 256 227.982 14.438 4.365 3 27 "0-No Error" "No comment" "B01" "1772-064-103" FALSE 20.617435483871 132.59385483871
"138" "1772-064-103_B02" 225 207 227.982 29.861 8.174 9 53 175 257 227.982 26.46 5.395 16 42 227.982 48.569 36.129 9 146 175 257 227.982 14.197 4.454 4 26 "0-No Error" "No comment" "B02" "1772-064-103" FALSE 4.48543548387097 34.0018548387097
"139" "1772-064-103_B03" 256 206 227.982 126.219 68.739 30 289 206 256 227.982 25.686 4.635 13 36 227.982 97.38 60.925 16 244 206 256 227.982 15.044 3.728 6 23 "0-No Error" "No comment" "B03" "1772-064-103" FALSE 100.843435483871 82.8128548387097
"140" "1772-064-103_B04" 253 200 227.982 27.365 8.099 13 52 203 250 227.982 25.73 4.461 15 38 227.982 21.146 8.313 7 48 203 250 227.982 14.431 4.627 3 26 "0-No Error" "No comment" "B04" "1772-064-103" FALSE 1.98943548387097 6.57885483870968
"141" "1772-064-103_B05" 221 202 227.982 44.737 19.817 16 104 171 252 227.982 24.635 5.096 8 36 227.982 130.686 70.601 22 272 171 252 227.982 13.474 4.208 5 24 "0-No Error" "No comment" "B05" "1772-064-103" FALSE 19.361435483871 116.11885483871
"142" "1772-064-103_B06" 250 200 227.982 36.934 12.799 16 80 200 250 227.982 26.175 4.47 17 38 227.982 89.007 43.551 15 202 200 250 227.982 13.861 4.12 4 24 "0-No Error" "No comment" "B06" "1772-064-103" FALSE 11.558435483871 74.4398548387097
"143" "1772-064-103_B07" 219 207 227.982 29.328 10.858 12 65 169 257 227.982 25.723 4.605 15 36 227.982 49.46 31.048 8 128 169 257 227.982 14.752 4.331 5 24 "0-No Error" "No comment" "B07" "1772-064-103" FALSE 3.95243548387097 34.8928548387097
"144" "1772-064-103_B08" 251 204 227.982 88.737 47.674 11 199 201 254 227.982 26.336 4.588 16 38 227.982 14.993 4.361 2 29 201 254 227.982 14.898 4.648 5 26 "0-No Error" "No comment" "B08" "1772-064-103" FALSE 63.361435483871 0.425854838709677
"145" "1772-064-103_B09" 220 207 227.982 72.905 38.628 15 151 170 257 227.982 25.489 4.748 15 37 227.982 15.307 4.493 4 29 170 257 227.982 14.628 4.367 4 26 "0-No Error" "No comment" "B09" "1772-064-103" FALSE 47.529435483871 0.739854838709677
"146" "1772-064-103_B10" 218 202 227.982 97.708 59.666 18 230 168 252 227.982 25.307 4.612 13 37 227.982 68.394 46.011 8 169 168 252 227.982 14.752 4.581 4 26 "0-No Error" "No comment" "B10" "1772-064-103" FALSE 72.332435483871 53.8268548387097
"147" "1772-064-103_B11" 247 200 227.982 26.394 7.091 12 45 197 250 227.982 25.569 4.67 13 36 227.982 17.467 4.354 6 27 197 250 227.982 14.277 4.517 1 27 "0-No Error" "No comment" "B11" "1772-064-103" FALSE 1.01843548387097 2.89985483870968
"148" "1772-064-103_B12" 215 202 227.982 124.015 111.504 12 392 165 252 227.982 24.526 4.957 12 36 227.982 100.022 100.953 9 336 165 252 227.982 13.504 4.182 0 26 "0-No Error" "No comment" "B12" "1772-064-103" FALSE 98.639435483871 85.4548548387097
"149" "1772-064-103_C01" 245 208 227.982 51.504 23.101 16 108 195 258 227.982 24.934 4.807 14 37 227.982 95.285 63.446 12 248 195 258 227.982 15.066 4.658 3 28 "2-Debris" "No comment" "C01" "1772-064-103" TRUE 26.128435483871 80.7178548387097
"150" "1772-064-103_C02" 216 208 227.982 30.438 9.65 11 52 166 258 227.982 25.854 4.447 15 35 227.982 33.387 25.531 5 109 166 258 227.982 14.292 4.411 3 26 "0-No Error" "No comment" "C02" "1772-064-103" FALSE 5.06243548387097 18.8198548387097
"151" "1772-064-103_C03" 247 207 227.982 27.336 8.828 12 56 197 257 227.982 24.387 4.166 13 33 227.982 36.394 17.324 3 87 197 257 227.982 13.949 4.456 3 25 "0-No Error" "No comment" "C03" "1772-064-103" FALSE 1.96043548387097 21.8268548387097
"152" "1772-064-103_C04" 246 202 227.982 29.088 6.21 15 47 196 252 227.982 25.715 4.722 14 38 227.982 34.358 13.001 11 71 196 252 227.982 14.358 4.715 2 27 "0-No Error" "No comment" "C04" "1772-064-103" FALSE 3.71243548387097 19.7908548387097
"153" "1772-064-103_C05" 212 203 227.982 27.788 7.6 13 48 162 253 227.982 24.642 4.844 14 37 227.982 19.774 6.832 5 37 162 253 227.982 14.642 4.123 4 24 "0-No Error" "No comment" "C05" "1772-064-103" FALSE 2.41243548387097 5.20685483870968
"154" "1772-064-103_C06" 242 203 227.982 32.474 11.213 10 72 192 253 227.982 25.569 4.644 6 38 227.982 57.292 17.359 17 94 192 253 227.982 14.336 4.133 5 28 "0-No Error" "No comment" "C06" "1772-064-103" FALSE 7.09843548387096 42.7248548387097
"155" "1772-064-103_C07" 209 208 227.982 31.905 6.897 14 47 159 258 227.982 25.496 5.218 11 37 227.982 50.453 26.522 14 105 159 258 227.982 13.934 4.706 2 26 "0-No Error" "No comment" "C07" "1772-064-103" FALSE 6.52943548387097 35.8858548387097
"156" "1772-064-103_C08" 243 205 227.982 62.883 20.832 16 104 193 255 227.982 26.409 4.967 15 37 227.982 80.146 36.028 15 152 193 255 227.982 13.679 4.6 3 27 "0-No Error" "No comment" "C08" "1772-064-103" FALSE 37.507435483871 65.5788548387097
"157" "1772-064-103_C09" 215 209 227.982 28.599 7.728 9 49 165 259 227.982 25.445 4.823 9 39 227.982 46.562 40.324 3 161 165 259 227.982 13.65 5.064 2 27 "0-No Error" "No comment" "C09" "1772-064-103" FALSE 3.22343548387097 31.9948548387097
"158" "1772-064-103_C10" 210 203 227.982 57.701 33.942 13 149 160 253 227.982 24.839 5.036 11 40 227.982 96.015 87.255 5 285 160 253 227.982 14.285 4.33 4 24 "0-No Error" "No comment" "C10" "1772-064-103" FALSE 32.325435483871 81.4478548387097
"159" "1772-064-103_C11" 239 202 227.982 35 12.317 15 72 189 252 227.982 25.569 4.982 15 37 227.982 62.285 33.997 16 164 189 252 227.982 13.912 4.704 1 27 "0-No Error" "No comment" "C11" "1772-064-103" FALSE 9.62443548387097 47.7178548387097
"160" "1772-064-103_C12" 206 203 227.982 63.131 31.214 14 130 156 253 227.982 24.92 4.987 11 41 227.982 15.27 4.334 5 26 156 253 227.982 14.599 4.451 4 25 "0-No Error" "No comment" "C12" "1772-064-103" FALSE 37.755435483871 0.702854838709676
"161" "1772-064-103_D01" 237 208 227.982 78.175 39.287 22 172 187 258 227.982 26.073 5.295 10 39 227.982 16.818 4.568 5 28 187 258 227.982 15.029 4.146 6 26 "0-No Error" "No comment" "D01" "1772-064-103" FALSE 52.799435483871 2.25085483870968
"162" "1772-064-103_D02" 206 211 227.982 62.226 26.241 21 127 156 261 227.982 24.212 4.507 14 35 227.982 66.934 43.684 7 163 156 261 227.982 14.38 4.754 1 30 "0-No Error" "No comment" "D02" "1772-064-103" FALSE 36.850435483871 52.3668548387097
"163" "1772-064-103_D03" 239 209 227.982 69.139 31.272 23 134 189 259 227.982 26.073 5.181 15 38 227.982 43.394 19.184 14 99 189 259 227.982 15.08 4.153 2 25 "0-No Error" "No comment" "D03" "1772-064-103" FALSE 43.763435483871 28.8268548387097
"164" "1772-064-103_D04" 239 203 227.982 26.212 5.966 11 43 189 253 227.982 26.445 4.714 14 37 227.982 14.007 5.226 4 27 189 253 227.982 13.708 4.399 0 25 "1-No cell" "No comment" "D04" "1772-064-103" TRUE 0.836435483870968 -0.560145161290324
"165" "1772-064-103_D05" 203 205 227.982 55.387 21.295 15 107 153 255 227.982 24.27 4.818 13 37 227.982 67.161 39.712 10 155 153 255 227.982 14.737 4.39 3 25 "0-No Error" "No comment" "D05" "1772-064-103" FALSE 30.011435483871 52.5938548387097
"166" "1772-064-103_D06" 233 204 227.982 36.219 13.607 16 77 183 254 227.982 24.416 4.775 14 37 227.982 80.46 47.482 15 195 183 254 227.982 14.635 4.518 1 27 "0-No Error" "No comment" "D06" "1772-064-103" FALSE 10.843435483871 65.8928548387097
"167" "1772-064-103_D07" 204 212 227.982 135.985 63.347 38 303 154 262 227.982 26.044 4.932 14 37 227.982 108.358 55.29 29 240 154 262 227.982 14.942 4.007 4 26 "0-No Error" "No comment" "D07" "1772-064-103" FALSE 110.609435483871 93.7908548387097
"168" "1772-064-103_D08" 238 211 227.982 28.934 5.177 9 42 188 261 227.982 26.007 5.281 12 38 227.982 50.277 27.313 8 109 188 261 227.982 14.825 3.71 4 28 "0-No Error" "No comment" "D08" "1772-064-103" FALSE 3.55843548387097 35.7098548387097
"169" "1772-064-103_D09" 206 211 227.982 28.672 8.005 14 47 156 261 227.982 24.993 4.572 13 41 227.982 44.321 36.137 5 138 156 261 227.982 14.496 4.424 6 25 "0-No Error" "No comment" "D09" "1772-064-103" FALSE 3.29643548387097 29.7538548387097
"170" "1772-064-103_D10" 202 205 227.982 37.905 11.733 18 73 152 255 227.982 24.861 4.77 12 38 227.982 68.737 38.249 18 162 152 255 227.982 13.693 4.245 3 26 "0-No Error" "No comment" "D10" "1772-064-103" FALSE 12.529435483871 54.1698548387097
"171" "1772-064-103_D11" 232 205 227.982 46.62 17.762 16 93 182 255 227.982 25.007 5.104 10 40 227.982 27.869 11.369 5 64 182 255 227.982 13.912 4.219 2 23 "0-No Error" "No comment" "D11" "1772-064-103" FALSE 21.244435483871 13.3018548387097
"172" "1772-064-103_D12" 200 205 227.982 28.022 7.697 12 44 150 255 227.982 24.022 5.221 12 38 227.982 29.591 13.547 5 62 150 255 227.982 15.219 3.769 7 25 "0-No Error" "No comment" "D12" "1772-064-103" FALSE 2.64643548387097 15.0238548387097
"173" "1772-064-103_E01" 233 212 227.982 32.131 12.613 9 71 183 262 227.982 26.219 5.443 10 42 227.982 51.416 43.351 8 175 183 262 227.982 14.372 4.038 4 22 "0-No Error" "No comment" "E01" "1772-064-103" FALSE 6.75543548387097 36.8488548387097
"174" "1772-064-103_E02" 201 213 227.982 81.029 61.899 16 248 151 263 227.982 24.591 4.601 14 37 227.982 81.905 80.39 9 303 151 263 227.982 14.664 4.386 3 27 "0-No Error" "No comment" "E02" "1772-064-103" FALSE 55.653435483871 67.3378548387097
"175" "1772-064-103_E03" 232 211 227.982 37.051 6.942 13 53 182 261 227.982 25.431 5.148 11 41 227.982 16.679 4.915 5 30 182 261 227.982 15.015 4.071 5 29 "0-No Error" "No comment" "E03" "1772-064-103" FALSE 11.675435483871 2.11185483870968
"176" "1772-064-103_E04" 230 199 227.982 90.029 50.158 20 182 180 249 227.982 25.723 4.927 15 42 227.982 16.73 4.769 5 31 180 249 227.982 15.161 4.12 6 27 "0-No Error" "No comment" "E04" "1772-064-103" FALSE 64.653435483871 2.16285483870968
"177" "1772-064-103_E05" 196 208 227.982 48.839 17.604 18 91 146 258 227.982 24.752 4.632 16 38 227.982 15.985 4.782 5 30 146 258 227.982 14.628 4.201 6 25 "0-No Error" "No comment" "E05" "1772-064-103" FALSE 23.463435483871 1.41785483870968
"178" "1772-064-103_E06" 228 206 227.982 30.38 7.951 14 53 178 256 227.982 27.212 4.812 11 39 227.982 27.234 11.415 2 56 178 256 227.982 15.526 4.711 1 26 "0-No Error" "No comment" "E06" "1772-064-103" FALSE 5.00443548387097 12.6668548387097
"179" "1772-064-103_E08" 230 214 227.982 99.124 50.015 17 204 180 264 227.982 26.007 4.851 11 39 227.982 15.204 4.421 5 25 180 264 227.982 15.599 5.069 3 30 "2-Debris" "No comment" "E08" "1772-064-103" TRUE 73.748435483871 0.636854838709677
"180" "1772-064-103_E09" 196 216 227.982 77.35 30.483 15 144 146 266 227.982 24.898 4.714 13 38 227.982 116.474 77.683 23 311 146 266 227.982 19.35 4.323 10 30 "4-MultipleCells" "No comment" "E09" "1772-064-103" TRUE 51.974435483871 101.90685483871
"181" "1772-064-103_E10" 193 211 227.982 30.818 11.072 8 58 143 261 227.982 23.277 4.706 13 33 227.982 50.131 36.948 7 164 143 261 227.982 14.861 4.612 3 27 "0-No Error" "No comment" "E10" "1772-064-103" FALSE 5.44243548387097 35.5638548387097
"182" "1772-064-103_E11" 225 208 227.982 53.343 23.067 16 114 175 258 227.982 25.117 4.999 9 37 227.982 65.686 30.003 13 125 175 258 227.982 15.058 4.297 2 27 "4-MultipleCells" "No comment" "E11" "1772-064-103" TRUE 27.967435483871 51.1188548387097
"183" "1772-064-103_F01" 225 216 227.982 26.876 6.882 12 44 175 266 227.982 26.066 4.907 14 38 227.982 34.394 22.741 5 99 175 266 227.982 14.394 4.17 5 25 "0-No Error" "No comment" "F01" "1772-064-103" FALSE 1.50043548387097 19.8268548387097
"184" "1772-064-103_F02" 193 216 227.982 31.234 7.71 13 51 143 266 227.982 24.015 4.72 11 36 227.982 44.255 21.849 4 101 143 266 227.982 15.088 4.247 2 24 "0-No Error" "No comment" "F02" "1772-064-103" FALSE 5.85843548387097 29.6878548387097
"185" "1772-064-103_F05" 189 211 227.982 35.438 9.133 20 62 139 261 227.982 24.526 4.635 12 35 227.982 52.54 29.546 13 130 139 261 227.982 14.81 3.887 3 26 "0-No Error" "No comment" "F05" "1772-064-103" FALSE 10.062435483871 37.9728548387097
"186" "1772-064-103_F06" 222 211 227.982 66.343 35.451 17 163 172 261 227.982 25.175 5.012 13 38 227.982 93.328 60.957 13 256 172 261 227.982 13.934 3.941 4 24 "0-No Error" "No comment" "F06" "1772-064-103" FALSE 40.967435483871 78.7608548387097
"187" "1772-067-038_A01" 275 164 214.599 25.854 8.077 8 50 225 214 214.599 22.657 4.679 12 36 214.599 27.496 14.778 5 64 225 214 214.599 13.672 4.507 4 25 "0-No Error" "No comment" "A01" "1772-067-038" FALSE 3.52048958333333 14.4287708333333
"188" "1772-067-038_A02" 245 166 214.599 218.372 119.096 43 462 195 216 214.599 22.934 4.471 9 36 214.599 73.109 40.986 12 162 195 216 214.599 13.015 4.258 0 26 "0-No Error" "No comment" "A02" "1772-067-038" TRUE 196.038489583333 60.0417708333333
"189" "1772-067-038_A03" 281 170 214.599 28.657 9.057 11 51 231 220 214.599 22.672 5.21 9 39 214.599 34.058 18.651 7 84 231 220 214.599 13.036 3.995 2 24 "0-No Error" "No comment" "A03" "1772-067-038" FALSE 6.32348958333333 20.9907708333333
"190" "1772-067-038_A04" 279 160 214.599 35.584 14.668 8 75 229 210 214.599 23.109 4.282 12 36 214.599 31.715 17.757 5 82 229 210 214.599 13.299 4.408 2 23 "0-No Error" "No comment" "A04" "1772-067-038" FALSE 13.2504895833333 18.6477708333333
"191" "1772-067-038_A05" 244 156 214.599 22.139 4.634 11 37 194 206 214.599 21.635 4.618 6 33 214.599 12.65 4.335 3 21 194 206 214.599 13.058 4.018 4 25 "1-No cell" "No comment" "A05" "1772-067-038" TRUE -0.194510416666667 -0.417229166666667
"192" "1772-067-038_A06" 275 153 214.599 21.613 4.557 11 37 225 203 214.599 22.496 5.043 8 33 214.599 13.788 3.86 6 22 225 203 214.599 12.336 4.512 0 25 "1-No cell" "No comment" "A06" "1772-067-038" TRUE -0.720510416666666 0.720770833333333
"193" "1772-067-038_A07" 241 163 214.599 25.292 6.471 11 40 191 213 214.599 23.102 4.827 12 36 214.599 21.438 9.812 4 51 191 213 214.599 12.066 4.358 1 22 "0-No Error" "No comment" "A07" "1772-067-038" FALSE 2.95848958333334 8.37077083333333
"194" "1772-067-038_A08" 273 162 214.599 32.095 11.362 10 56 223 212 214.599 22.555 5.069 9 34 214.599 69.336 57.242 3 193 223 212 214.599 13.891 4.266 1 24 "0-No Error" "No comment" "A08" "1772-067-038" FALSE 9.76148958333333 56.2687708333333
"195" "1772-067-038_A09" 242 166 214.599 97.861 74.532 18 287 192 216 214.599 23.029 4.382 12 34 214.599 56.635 46.573 4 179 192 216 214.599 13.073 4.131 3 24 "0-No Error" "No comment" "A09" "1772-067-038" FALSE 75.5274895833333 43.5677708333333
"196" "1772-067-038_A10" 242 154 214.599 27.226 9.192 12 52 192 204 214.599 22.993 4.567 12 37 214.599 21.139 9.616 4 52 192 204 214.599 12.869 4.866 0 25 "0-No Error" "No comment" "A10" "1772-067-038" FALSE 4.89248958333333 8.07177083333333
