"Label" "Cellcoord.X" "Cellcoord.Y" "area" "mean.ch2" "std.ch2" "min.ch2" "max.ch2" "BGcoord.ch2.X" "BGcoord.ch2.Y" "bg.area.ch2" "bg.mean.ch2" "bg.std.ch2" "bg.min.ch2" "bg.max.ch2" "area.ch3" "mean.ch3" "std.ch3" "min.ch3" "max.ch3" "BGcoord.ch3.X" "BGcoord.ch3.Y" "bg.area.ch3" "bg.mean.ch3" "bg.std.ch3" "bg.min.ch3" "bg.max.ch3" "Error" "Comment" "Well" "Run" "discard" "r.mean.ch2" "r.mean.ch3"
"22" "1772-062-248_B10" 326 251 227.982 85.679 40.478 18 164 276 301 227.982 17.168 5.027 0 27 227.982 139.825 68.468 32 262 276 301 227.982 17.584 4.751 7 28 "0-No Error" "No comment" "B10" "1772-062-248" FALSE 68.9488225806452 122.4815
"23" "1772-062-248_B11" 358 250 227.982 23.526 5.669 7 36 308 300 227.982 16.467 4.797 5 34 227.982 60.562 19.718 13 103 308 300 227.982 17.219 4.156 7 27 "0-No Error" "No comment" "B11" "1772-062-248" FALSE 6.79582258064516 43.2185
"24" "1772-062-248_B12" 326 251 227.982 37.146 8.653 19 63 276 301 227.982 16.263 4.677 5 28 227.982 89.029 27.325 37 148 276 301 227.982 16.745 5 0 27 "0-No Error" "No comment" "B12" "1772-062-248" FALSE 20.4158225806452 71.6855
"25" "1772-062-248_C01" 363 249 227.982 77.927 42.735 11 167 313 299 227.982 16.62 4.408 6 28 227.982 133.38 92.279 14 320 313 299 227.982 16.204 4.384 4 27 "4-MultipleCells" "No comment" "C01" "1772-062-248" TRUE 61.1968225806452 116.0365
"26" "1772-062-248_C02" 330 250 227.982 17.109 5.083 5 37 280 300 227.982 17.117 4.706 5 30 227.982 16.861 3.829 3 26 280 300 227.982 18.109 4.486 7 31 "1-No cell" "No comment" "C02" "1772-062-248" TRUE 0.378822580645163 -0.482499999999998
"27" "1772-062-248_C03" 361 249 227.982 21.204 4.694 6 33 311 299 227.982 17.073 4.119 8 28 227.982 36.723 6.271 21 56 311 299 227.982 18.036 4.254 6 29 "3-OutOfFocus" "No comment" "C03" "1772-062-248" TRUE 4.47382258064516 19.3795
"28" "1772-062-248_C04" 359 250 227.982 30.891 5.122 17 43 309 300 227.982 16.788 4.418 1 27 227.982 105.431 13.255 66 133 309 300 227.982 17.518 4.661 2 30 "3-OutOfFocus" "No comment" "C04" "1772-062-248" TRUE 14.1608225806452 88.0875
"29" "1772-062-248_C05" 328 251 227.982 26.314 5.186 13 41 278 301 227.982 16.109 4.33 3 26 227.982 27.766 4.589 14 44 278 301 227.982 17.839 4.862 6 30 "3-OutOfFocus" "No comment" "C05" "1772-062-248" TRUE 9.58382258064516 10.4225
"30" "1772-062-248_C06" 359 248 227.982 76.277 63.977 10 226 309 298 227.982 16.628 4.536 6 25 227.982 146.073 147.678 11 515 309 298 227.982 17.577 4.45 6 29 "0-No Error" "No comment" "C06" "1772-062-248" FALSE 59.5468225806452 128.7295
"31" "1772-062-248_C07" 330 249 227.982 36.672 4.508 20 48 280 299 227.982 16.854 3.792 7 28 227.982 36.606 5.448 23 52 280 299 227.982 17.161 4.415 7 28 "3-OutOfFocus" "No comment" "C07" "1772-062-248" TRUE 19.9418225806452 19.2625
