 	Label	Cellcoord.X	Cellcoord.Y	area	mean.ch2	std.ch2	min.ch2	max.ch2	BGcoord.ch2.X	BGcoord.ch2.Y	bg.area.ch2	bg.mean.ch2	bg.std.ch2	bg.min.ch2	bg.max.ch2	area.ch3	mean.ch3	std.ch3	min.ch3	max.ch3	BGcoord.ch3.X	BGcoord.ch3.Y	bg.area.ch3	bg.mean.ch3	bg.std.ch3	bg.min.ch3	bg.max.ch3	Error	Comment
35	1772-062-248_C11	358	249	227.982	16.401	4.517	5	27	308	299	227.982	16.869	4.404	4	29	227.982	17.474	5.060	3	30	308	299	227.982	16.672	4.868	5	30	1-No cell	No comment
36	1772-062-248_C12	325	249	227.982	38.022	15.427	10	80	275	299	227.982	16.693	4.323	6	27	227.982	90.971	54.569	21	219	275	299	227.982	17.255	4.317	6	28	0-No Error	No comment
37	1772-062-248_D01	360	250	227.982	18.869	4.802	8	31	310	300	227.982	16.978	4.025	6	26	227.982	46.146	6.897	29	62	310	300	227.982	16.818	4.568	4	29	3-OutOfFocus	No comment
38	1772-062-248_D02	329	250	227.982	25.496	8.432	10	48	279	300	227.982	15.993	4.622	4	30	227.982	75.277	40.684	17	179	279	300	227.982	17.292	4.159	9	30	0-No Error	No comment
39	1772-062-248_D03	359	249	227.982	34.409	15.956	10	72	309	299	227.982	17.350	4.542	5	28	227.982	57.650	34.362	13	148	309	299	227.982	17.526	3.996	9	29	0-No Error	No comment
40	1772-062-248_D04	357	249	227.982	25.248	8.090	6	46	307	299	227.982	16.584	4.606	5	26	227.982	113.073	87.844	10	315	307	299	227.982	17.788	4.381	8	33	0-No Error	No comment
41	1772-062-248_D05	325	250	227.982	68.920	39.269	11	158	275	300	227.982	16.482	4.145	7	29	227.982	67.285	39.515	13	153	275	300	227.982	18.029	4.249	8	33	0-No Error	No comment
42	1772-062-248_D06	357	250	227.982	20.131	4.419	8	32	307	300	227.982	17.015	4.605	4	26	227.982	31.453	5.610	19	46	307	300	227.982	17.365	4.419	5	28	3-OutOfFocus	No comment
43	1772-062-248_D07	327	249	227.982	15.416	4.746	2	28	277	299	227.982	15.212	4.238	5	26	227.982	15.489	4.339	3	27	277	299	227.982	15.708	4.919	5	26	1-No cell	No comment
44	1772-062-248_D08	359	248	227.982	20.599	4.642	9	33	309	298	227.982	16.445	4.740	4	35	227.982	33.146	5.534	17	57	309	298	227.982	16.387	4.210	5	26	3-OutOfFocus	No comment
45	1772-062-248_D09	326	249	227.982	68.161	27.559	27	129	276	299	227.982	16.584	4.460	4	26	227.982	177.029	94.047	29	379	276	299	227.982	17.511	4.697	5	31	2-Debris	No comment
46	1772-062-248_D10	325	248	227.982	75.708	47.647	12	201	275	298	227.982	15.993	4.438	5	26	227.982	114.620	88.373	16	352	275	298	227.982	17.190	4.891	5	31	0-No Error	No comment
47	1772-062-248_D11	358	248	227.982	16.642	5.213	7	33	308	298	227.982	16	4.011	5	25	227.982	16.299	4.978	4	32	308	298	227.982	15.540	4.529	4	25	1-No cell	No comment
48	1772-062-248_D12	325	250	227.982	21.511	5.779	4	40	275	300	227.982	15.161	4.115	6	25	227.982	16.533	4.661	5	29	275	300	227.982	16.182	4.775	1	29	0-No Error	No comment
49	1772-062-248_E01	361	249	227.982	36.058	13.802	9	66	311	299	227.982	16.591	4.486	6	33	227.982	105.190	55.198	21	234	311	299	227.982	16.088	4.168	2	25	4-MultipleCells	No comment
50	1772-062-248_E02	328	249	227.982	23.635	5.051	10	37	278	299	227.982	15.869	4.638	4	27	227.982	57.518	8.580	35	78	278	299	227.982	16.803	4.670	3	31	0-No Error	No comment
51	1772-062-248_E03	358	247	227.982	17.956	4.632	5	31	308	297	227.982	15.920	4.494	3	27	227.982	39.788	9.634	19	64	308	297	227.982	16.766	4.790	4	31	0-No Error	No comment
52	1772-062-248_E04	356	248	227.982	15.869	4.478	0	27	306	298	227.982	16.934	4.471	6	29	227.982	16.599	4.548	3	27	306	298	227.982	17.796	4.605	6	32	1-No cell	No comment
53	1772-062-248_E05	324	249	227.982	29.299	6.420	15	45	274	299	227.982	15.474	4.152	3	27	227.982	69.810	15.430	32	110	274	299	227.982	16.650	4.326	4	27	4-MultipleCells	No comment
54	1772-062-248_E06	357	249	227.982	23.409	6.430	11	39	307	299	227.982	15.416	4.410	3	25	227.982	65.343	26.533	19	128	307	299	227.982	16.226	4.619	7	32	0-No Error	No comment
55	1772-062-248_E08	358	248	227.982	22.073	6.674	7	43	308	298	227.982	16.431	4.951	7	33	227.982	124.869	101.607	9	350	308	298	227.982	18.599	4.261	9	29	0-No Error	No comment
56	1772-062-248_E09	326	248	227.982	27.657	5.780	12	44	276	298	227.982	19.569	4.558	7	33	227.982	43.832	7.864	28	60	276	298	227.982	18.299	4.714	6	31	0-No Error	No comment
57	1772-062-248_E10	324	248	227.982	25.591	6.574	11	42	274	298	227.982	16.774	4.646	6	28	227.982	61.839	36.029	12	147	274	298	227.982	17.788	4.250	8	28	0-No Error	No comment
58	1772-062-248_E11	355	248	227.982	70.438	20.623	19	114	305	298	227.982	17.007	4.891	4	34	227.982	105.453	35.265	32	177	305	298	227.982	17.584	4.524	7	31	0-No Error	No comment
59	1772-062-248_F01	359	246	227.982	70.467	11.095	39	101	309	296	227.982	23.219	4.589	12	33	227.982	24.526	4.805	14	36	309	296	227.982	22.664	4.689	10	34	0-No Error	No comment
60	1772-062-248_F02	326	247	227.982	21.715	4.885	9	34	294	161	227.982	17.810	3.931	7	27	227.982	50.474	7.904	30	79	271	157	227.982	18.153	4.524	6	32	0-No Error	BG change XY
61	1772-062-248_F05	324	247	227.982	22.533	5.787	8	35	274	297	227.982	16.745	4.447	5	28	227.982	101.847	73.119	13	279	274	297	227.982	17.445	4.723	4	29	0-No Error	No comment
62	1772-062-248_F06	356	248	227.982	22.073	4.829	8	33	306	298	227.982	17.263	4.163	5	30	227.982	62.555	11.535	39	92	306	298	227.982	17.540	4.246	8	28	0-No Error	No comment
63	1772-062-249_C07	231	170	227.982	25.226	5.430	12	40	181	220	227.982	15.912	4.403	6	28	227.982	54.555	14.863	22	93	181	220	227.982	11.985	3.993	1	21	0-No Error	No comment
64	1772-062-249_C08	263	169	227.982	27.190	5.567	11	38	213	219	227.982	16.905	4.286	6	31	227.982	16.781	4.809	3	30	213	219	227.982	11.956	4.062	2	21	0-No Error	No comment
65	1772-062-249_C11	260	167	227.982	24.161	7.262	5	45	210	217	227.982	17.161	4.784	6	29	227.982	69.650	52.665	10	206	210	217	227.982	11.540	4.169	2	23	0-No Error	No comment
66	1772-062-249_C12	250	250	227.982	14.927	4.655	2	29	200	300	227.982	15.883	4.510	4	32	227.982	11.197	4.078	2	25	200	300	227.982	11.453	4.153	1	24	3-OutOfFocus	No comment
67	1772-062-249_D01	262	169	227.982	68.971	39.141	13	162	212	219	227.982	16.241	4.361	7	27	227.982	54.416	43.692	7	159	212	219	227.982	11.226	4.434	1	21	4-MultipleCells	No comment
68	1772-062-249_D02	228	171	227.982	42.993	11.842	18	71	178	221	227.982	15.715	4.736	6	29	227.982	71.139	23.745	27	118	178	221	227.982	11.599	3.988	0	21	0-No Error	No comment
69	1772-062-249_D03	262	168	227.982	38.832	21.613	6	86	212	218	227.982	16.248	4.648	6	26	227.982	12.628	4.471	1	25	212	218	227.982	10.650	4.278	2	22	4-MultipleCells	No comment
70	1772-062-249_D04	258	168	227.982	24.642	6.212	11	43	208	218	227.982	16.759	4.226	8	28	227.982	60.752	23.322	17	127	208	218	227.982	12.161	4.479	0	26	0-No Error	No comment
71	1772-062-249_D05	227	169	227.982	45.153	24.164	9	102	177	219	227.982	15.927	4.630	4	28	227.982	48.182	31.581	5	137	177	219	227.982	12.701	3.934	0	22	0-No Error	No comment
72	1772-062-249_D06	258	167	227.982	16.255	5.009	3	29	208	217	227.982	16.453	4.739	7	28	227.982	11.146	4.221	0	23	208	217	227.982	12.234	4.217	2	22	1-No cell	No comment
73	1772-062-249_D07	229	171	227.982	25.949	6.660	11	45	179	221	227.982	16.102	4.670	7	29	227.982	27.255	8.944	7	50	179	221	227.982	12.051	4.639	3	26	0-No Error	No comment
74	1772-062-249_D08	259	170	227.982	23.299	7.994	10	47	209	220	227.982	17.182	4.353	6	30	227.982	21.088	9.882	1	49	209	220	227.982	10.942	4.693	1	21	0-No Error	No comment
75	1772-062-249_D09	230	171	227.982	20.978	5.190	9	35	180	221	227.982	15.562	4.779	2	29	227.982	35.015	10.272	11	57	180	221	227.982	11.533	4.308	0	21	0-No Error	No comment
76	1772-062-249_D10	225	170	227.982	16.190	4.021	4	26	175	220	227.982	16.307	4.402	4	27	227.982	10.394	4.226	0	20	175	220	227.982	11.657	4.322	2	24	1-No cell	No comment
77	1772-062-249_D11	258	168	227.982	28.482	9.359	10	48	208	218	227.982	16.540	4.224	4	27	227.982	12.073	4.233	1	22	208	218	227.982	11.883	4.210	1	27	4-MultipleCells	No comment
78	1772-062-249_D12	226	169	227.982	35.482	7.499	13	54	176	219	227.982	15.650	5.017	6	26	227.982	12.204	4.226	2	22	176	219	227.982	12.307	4.008	3	22	0-No Error	No comment
79	1772-062-249_E01	260	169	227.982	39.832	15.853	14	82	210	219	227.982	19.095	4.597	7	33	227.982	17.131	6.814	2	40	210	219	227.982	11.620	4.462	1	24	4-MultipleCells	No comment
