 	Label	Cellcoord.X	Cellcoord.Y	area	mean.ch2	std.ch2	min.ch2	max.ch2	BGcoord.ch2.X	BGcoord.ch2.Y	bg.area.ch2	bg.mean.ch2	bg.std.ch2	bg.min.ch2	bg.max.ch2	area.ch3	mean.ch3	std.ch3	min.ch3	max.ch3	bg.area.ch3	bg.mean.ch3	bg.std.ch3	bg.min.ch3	bg.max.ch3
54	1772-062-248_E06	358	248	227.982	23.241	6.633	8	39	258	298	227.982	15.547	4.667	4	27	227.982	65.175	26.746	19	128	227.982	16.883	4.571	2	30
55	1772-062-248_E08	359	248	227.982	22.007	6.643	7	43	259	298	227.982	16.839	4.568	2	28	227.982	127.088	99.610	9	350	227.982	17.613	4.602	5	30
56	1772-062-248_E09	326	248	227.982	27.657	5.780	12	44	226	298	227.982	18.190	4.448	9	30	227.982	43.832	7.864	28	60	227.982	18.737	4.445	6	28
57	1772-062-248_E10	324	249	227.982	25.912	6.246	13	42	224	299	227.982	16.533	4.267	6	28	227.982	63.088	34.884	17	147	227.982	17.642	4.405	6	28
58	1772-062-248_E11	355	248	227.982	70.438	20.623	19	114	255	298	227.982	17.562	4.723	6	31	227.982	105.453	35.265	32	177	227.982	17.511	4.495	4	31
59	1772-062-248_F01	358	247	227.982	69.971	11.477	44	101	258	297	227.982	23.445	5.245	8	39	227.982	24.715	4.806	14	36	227.982	22.409	5.013	6	39
60	1772-062-248_F02	327	247	227.982	21.693	4.845	9	34	227	297	227.982	39.723	5.836	26	55	227.982	50.927	7.465	32	79	227.982	32.774	5.344	20	46
61	1772-062-248_F05	324	248	227.982	22.438	5.901	8	35	224	298	227.982	16.810	4.758	7	29	227.982	102.540	72.443	17	279	227.982	18.131	4.794	7	31
62	1772-062-248_F06	357	247	227.982	21.562	5.223	7	33	257	297	227.982	16.788	4.281	4	27	227.982	62.314	11.940	33	92	227.982	17.453	4.171	6	27
63	1772-062-249_C07	230	170	227.982	24.547	5.601	13	40	130	220	227.982	16.372	4.605	5	30	227.982	52.971	16.347	21	93	227.982	12.460	4.137	1	21
64	1772-062-249_C08	263	168	227.982	27.292	5.310	11	38	163	218	227.982	15.394	4.689	4	28	227.982	17.022	4.617	3	30	227.982	11.745	3.952	0	23
65	1772-062-249_C11	259	167	227.982	24.292	7.077	11	45	159	217	227.982	16.365	3.856	8	28	227.982	70.343	52.045	10	206	227.982	11.511	4.401	2	21
66	1772-062-249_C12	250	250	227.982	14.927	4.655	2	29	150	300	227.982	15.628	4.136	5	25	227.982	11.197	4.078	2	25	227.982	11.168	4.294	1	21
67	1772-062-249_D01	262	168	227.982	68.679	39.471	13	162	162	218	227.982	15.701	4.527	5	29	227.982	54.701	43.506	7	159	227.982	11.591	4.072	2	25
68	1772-062-249_D02	229	171	227.982	44.701	10.223	21	71	129	221	227.982	15.672	4.589	6	28	227.982	74.445	21.501	30	118	227.982	11.701	4.214	2	22
69	1772-062-249_D03	262	168	227.982	38.832	21.613	6	86	162	218	227.982	16.715	4.040	7	30	227.982	12.628	4.471	1	25	227.982	11.642	4.090	2	21
70	1772-062-249_D04	259	168	227.982	24.555	6.292	7	43	159	218	227.982	16.905	4.876	3	27	227.982	58.482	25.552	15	127	227.982	12.212	4.216	0	27
71	1772-062-249_D05	227	169	227.982	45.153	24.164	9	102	127	219	227.982	15.270	4.574	5	26	227.982	48.182	31.581	5	137	227.982	12.241	5.046	0	23
72	1772-062-249_D06	260	167	227.982	16.438	5.010	3	29	160	217	227.982	15.971	4.793	1	27	227.982	11.080	4.120	0	22	227.982	11.745	4.337	0	23
73	1772-062-249_D07	229	171	227.982	25.949	6.660	11	45	129	221	227.982	15.803	4.498	0	28	227.982	27.255	8.944	7	50	227.982	11.117	3.909	1	21
74	1772-062-249_D08	259	169	227.982	23.445	7.907	7	47	159	219	227.982	15.489	4.238	5	27	227.982	20.898	10.058	1	49	227.982	11.708	4.675	0	25
75	1772-062-249_D09	230	171	227.982	20.978	5.190	9	35	130	221	227.982	16.095	4.510	5	27	227.982	35.015	10.272	11	57	227.982	11.489	4.265	0	25
76	1772-062-249_D10	225	169	227.982	16.161	4.259	4	26	125	219	227.982	15.372	4.467	5	28	227.982	10.336	4.161	0	20	227.982	12.336	4.150	2	23
77	1772-062-249_D11	259	168	227.982	28.117	9.573	12	48	159	218	227.982	16.182	4.822	5	26	227.982	12.285	4.352	1	22	227.982	11.774	4.296	2	22
78	1772-062-249_D12	225	169	227.982	36.518	6.560	18	54	125	219	227.982	15.569	4.437	6	27	227.982	11.942	4.176	3	22	227.982	11.657	4.209	0	24
79	1772-062-249_E01	260	168	227.982	38.766	16.662	14	82	160	218	227.982	16.891	4.244	7	30	227.982	17.292	6.669	5	40	227.982	11.613	4.428	1	25
80	1772-062-249_E02	228	170	227.982	17.577	4.275	3	27	128	220	227.982	17.007	4.475	6	28	227.982	22.891	4.709	14	36	227.982	12.029	4.094	3	23
81	1772-062-249_E03	258	171	227.982	19.058	5.443	7	31	158	221	227.982	16.102	4.784	6	29	227.982	21.460	8.973	1	50	227.982	11.956	3.611	1	21
82	1772-062-249_E04	256	169	227.982	40.708	7.012	23	63	156	219	227.982	16.453	4.294	6	27	227.982	34.445	7.030	14	55	227.982	12.102	4.023	0	22
83	1772-062-249_E05	224	169	227.982	16.591	4.712	2	29	124	219	227.982	15.693	4.476	1	25	227.982	17.599	4.826	8	28	227.982	11.650	4.442	0	22
84	1772-062-249_E06	257	167	227.982	18.511	4.922	6	30	157	217	227.982	16.299	4.274	5	31	227.982	15.584	5.217	5	29	227.982	12.467	3.961	2	22
