"Run","Well","cell_id","low.complexity","SPIKE_1","SPIKE_4","SPIKE_7","SPIKE_3","SPIKE_6","rRNA_18S","rRNA_28S","rRNA_5.8S","Nextera","HPV","HPV_as"
"1772-062-248","E10","1772-062-248_E10",3156.79346989927,4484.12931524017,396.941952484454,54.8277820204038,0,0,1145.22928363027,59.3035193281918,0,103102.525155042,1760.36342986939,625.484288763382
"1772-062-248","E11","1772-062-248_E11",2770.78754980052,5470.94763871187,496.256977666804,65.0332065613144,0,0,1225.14169780025,72.2591184014605,2.09784537294563,104578.990404921,1119.78324129231,403.951781257197
"1772-062-248","E12","1772-062-248_E12",2673.88730648757,4775.8062802264,368.147311584275,47.7227996498134,0,0,1319.07698933548,83.2210397834184,0.235087683004007,114449.382330622,1211.64191820265,456.775368076785
"1772-062-248","F01","1772-062-248_F01",3311.28419048199,5686.54857368928,404.536196316351,8.26027698012969,0,0,1693.57415663659,109.774733551723,0.434751420006826,114318.755393635,1916.16688368008,730.382385611467
"1772-062-248","F02","1772-062-248_F02",3037.3508424805,6966.23418090718,541.059853831181,50.0675203021433,0,0,2015.92619480705,93.0500141464362,1.88934038876013,112809.680602284,1760.62907477584,641.667229532658
"1772-062-248","F03","1772-062-248_F03",2594.73942230546,7490.56691093927,645.8691609148,81.2967840466631,0,0,2249.07450676197,86.0066732987368,0,110661.919644375,2972.14489585206,1162.72831188149
"1772-062-248","F04","1772-062-248_F04",6308.23574615982,548711.718320191,28612.4719464166,1944.10241631954,0,0,46.9379022469065,5.4578956101054,0,186958.030965917,9.82421209818973,3.27473736606324
"1772-062-248","F05","1772-062-248_F05",2943.6896505597,10057.8013040686,1050.45416981751,4.09495778098528,0,0,2412.1251309899,107.443892253471,1.55998391656582,117059.633115183,373.616148017514,138.253574605646
"1772-062-248","F06","1772-062-248_F06",4573.23167264845,7022.39392701041,457.239881311965,94.3907465974912,0,0,1126.85894246828,64.6854234035748,1.94333890053658,108213.993816851,4971.61614725845,1795.36752425287
"1772-062-248","F07","1772-062-248_F07",3132.94191870663,6131.82917123281,451.614233793213,51.5594869924789,0,0,1811.84724517661,70.7771139624028,0.234361304511268,109881.46942663,2668.20345186078,968.84963284958
"1772-062-248","F08","1772-062-248_F08",3314.25104534584,6235.65186080926,671.227545097125,23.935245794161,0,0,1299.78791290901,85.0741888553333,1.0406628606157,107316.796506703,5240.77816606065,1899.99021776911
"1772-062-248","F09","1772-062-248_F09",3407.03374488945,6539.47074019079,513.915444541627,70.2382889571426,0,0,1356.13927140329,80.0907186298639,0.635640624046539,114347.616601916,3075.22933913716,1084.08508431137
"1772-062-248","F10","1772-062-248_F10",3272.22563020908,9783.66035652115,831.155358583485,125.60637975139,0,0,1567.08911880306,93.0683461396016,1.19625123572753,112340.671297913,2185.55100767419,772.060547538546
"1772-062-248","F11","1772-062-248_F11",4135.05960189357,8293.61774938687,743.740375292306,73.6896138709861,0,0,2024.29703986768,146.466662864313,0,113122.454799521,3087.43512234073,1094.6215707523
