"cell_id","Run","Well","Row","Column","Concentration","Error","fluo_QC","ch2_corrected","ch3_corrected","low.complexity","SPIKE_1","SPIKE_4","SPIKE_7","SPIKE_3","SPIKE_6","rRNA_18S","rRNA_28S","rRNA_5.8S","Nextera","HPV","HPV_as","Control","Reads","HiSeq_QC","Discard"
"1772-062-248_B04","1772-062-248","B04","B","4",2.192,"2",TRUE,NA,NA,3047.23924096191,9780.66165550394,823.035904139794,99.6992474982108,0,0,2475.93359450951,233.11421562341,25.8556139777518,113759.3235344,3468.78917125518,1264.64979087979,NA,4834540,TRUE,TRUE
"1772-062-248_B05","1772-062-248","B05","B","5",3.958,"2",TRUE,NA,NA,4529.06502691481,4742.5392953707,383.36947027434,47.6843410308281,0,0,1478.53036229362,94.1055207098461,1.57895168976252,106999.240208447,2566.74386687795,903.476156882114,NA,3166658,TRUE,TRUE
"1772-062-248_B06","1772-062-248","B06","B","6",0.101,"1",TRUE,NA,NA,8010.59767786176,526712.382139796,33836.2035377542,3999.0649107769,0,0,38.9620509623627,20.2602665004286,0,191620.042079015,7.79241019247253,1.55848203849451,NA,641650,TRUE,TRUE
"1772-062-248_B07","1772-062-248","B07","B","7",0.243,"1",TRUE,NA,NA,13764.8162413339,217912.121362721,15174.9993787739,1485.50679621301,0,0,2113.72164103074,1594.99788783142,68.3348656909276,205280.266133241,11.6479884700445,9.31839077603558,NA,1287776,TRUE,TRUE
"1772-062-248_B08","1772-062-248","B08","B","8",2.229,"0",FALSE,54.3788966706024,58.3503107476178,3288.04752932091,8148.26762859287,704.826005244648,62.0755219598269,0,0,2742.5649898944,134.904283944191,0.977567274957904,107045.57174244,2998.93200775211,1056.50583241075,NA,4091790,TRUE,FALSE
"1772-062-248_B09","1772-062-248","B09","B","9",0.099,"1",TRUE,NA,NA,6631.6049533131,510357.758080947,31944.7405737802,3237.11668172696,0,0,15.2295086960495,6.76867053157754,0,206124.631530498,45.6885260881484,8.46083816447192,NA,590958,TRUE,TRUE
"1772-062-248_B10","1772-062-248","B10","B","10",4.557,"0",FALSE,103.394772655559,111.84752142981,5020.04729780845,3800.18813870954,304.656433061102,16.4456913933119,0,0,966.595511641905,76.883607263733,0,108185.102834908,1788.8800813075,618.357996388526,NA,2432248,TRUE,FALSE
"1772-062-248_B11","1772-062-248","B11","B","11",3.287,"0",FALSE,15.6814178299874,46.8827998093394,2493.45090811901,5871.83243264889,411.617292768853,18.858032078211,0,0,1616.20319366594,72.8711609935808,1.86252168673689,111161.813090361,1256.03806249319,468.424204214328,NA,4295252,TRUE,FALSE
"1772-062-248_B12","1772-062-248","B12","B","12",4.028,"0",FALSE,41.8058492572866,70.7128589796357,2549.40988723848,4907.23041579713,381.863458604423,40.9922312049524,0,0,1508.8210020518,82.4228819949845,1.75367834031882,116935.052522666,2374.48047279168,866.317100117496,NA,4561840,TRUE,FALSE
"1772-062-248_C01","1772-062-248","C01","C","1",4.19,"4",TRUE,NA,NA,3682.48385663367,4373.70461762781,381.589576643041,41.4942554092226,0,0,1561.81225897878,71.1705266829072,0.262621869678624,111792.352241057,1239.04998114375,454.598456413699,NA,3807756,TRUE,TRUE
"1772-062-248_C02","1772-062-248","C02","C","2",0.095,"1",TRUE,NA,NA,9588.77832394197,488912.600407625,39916.0772089677,6008.87183790912,0,0,7.1933820884786,2.39779402949287,0,207773.648243616,35.966910442393,16.7845582064501,NA,417050,TRUE,TRUE
"1772-062-248_C03","1772-062-248","C03","C","3",2.545,"3",TRUE,NA,NA,2538.72419378207,7974.59978332184,570.347960911432,145.785624131864,0,0,1901.52027915875,89.2013398581861,1.62184254287611,117797.307164724,3048.8837758801,1120.15258294643,NA,5549244,TRUE,TRUE
"1772-062-248_C04","1772-062-248","C04","C","4",4.009,"3",TRUE,NA,NA,3829.05953228355,5134.05904037686,379.346863660827,2.89356875408717,0,0,1301.237868713,79.5731407373971,0.578713750817433,108928.106390736,4143.87981272823,1490.4772652303,NA,3455940,TRUE,TRUE
